lgd,margin,threshold,approval_rate,savings,savings_pct
0.45,0.08,0.14968216133247125,0.8570341488161245,1222111405.125,0.1961314479568813
0.45,0.1,0.1881826234302522,0.9013550911036171,913888879.875001,0.14666612923331898
0.45,0.12,0.2194131641583795,0.9259789208050548,710424012.1500006,0.11401292024769627
0.45,0.15,0.2441837914661434,0.940752568234219,497947180.05000114,0.07991341952926413
0.45,0.2,0.3203935043218395,0.9702998630925475,291702900.60000134,0.04681415460814615
0.55,0.08,0.12425557552323864,0.8127132065286319,1860083445.4650002,0.24424106744115043
0.55,0.1,0.14968216133247125,0.8570341488161245,1455637998.8249998,0.19113474694251706
0.55,0.12,0.17332718114719123,0.8865814436744529,1145170166.58,0.15036829910463395
0.55,0.15,0.2194131641583795,0.9259789208050548,842036636.25,0.1105648928620205
0.55,0.2,0.2649275591125798,0.9506027505064926,510637317.5249996,0.06705000456386155
0.65,0.08,0.10126773835948742,0.7585420819688657,2599336159.470001,0.28880056791690656
0.65,0.1,0.13449315886706986,0.8324103191146868,2074321905.5250015,0.23046859182701795
0.65,0.12,0.14968216133247125,0.8570341488161245,1689164592.5250015,0.18767549239411122
0.65,0.15,0.1881826234302522,0.9013550911036171,1258605321.0750008,0.13983798524305324
0.65,0.2,0.22722607477820678,0.9309023859619456,830036759.8500013,0.0922216569654718
0.75,0.08,0.08592732823372269,0.7092944225659904,3448172901.825,0.3320295389787868
0.75,0.1,0.1127784136550821,0.7880893768271942,2765987124.5249996,0.26634088716700477
0.75,0.12,0.13449315886706986,0.8324103191146868,2298000371.085,0.22127776811325256
0.75,0.15,0.15341662833375866,0.8619576139730153,1754615137.2749996,0.16895442070386812
0.75,0.2,0.2194131641583795,0.9259789208050548,1184040020.25,0.11401292024769619
0.85,0.08,0.0819834289411952,0.6945207751368262,4348608168.0599985,0.36947095470801844
0.85,0.1,0.09315317761752412,0.733918252267428,3550250715.2999983,0.30164008127223335
0.85,0.12,0.12425557552323864,0.8127132065286319,2960439783.4349995,0.25152795351283475
0.85,0.15,0.14968216133247125,0.8570341488161245,2327459513.3999996,0.19774802769682268
0.85,0.2,0.1881826234302522,0.9013550911036171,1603321762.2749996,0.13622308548350073
